PHASE	Cell	PC1	PC2	time
G1/S	C11	1.18458392918074	3.65968284360339	0
G1/S	C17	5.39878590652911	2.49731208659553	0
G1/S	C18	2.70293569293458	0.888363924082727	0
G1/S	C19	1.6693466814168	2.72545727084292	0
G1/S	C27	2.87349937359606	1.51711783605215	0
G1/S	C30	-0.687745910943418	2.93622570819744	0
G1/S	C31	9.3999839159504	-0.799353607821915	0
G1/S	C33	8.02778573641277	0.0930554035363736	0
G1/S	C38	3.19857645766536	-0.342163146635643	0
G1/S	C43	2.34059266298854	-0.594695275230106	0
G1/S	C51	6.72008926531221	-1.54232173797867	0
G1/S	C53	1.31748021476102	2.66510718748434	0
G1/S	C63	1.30596880829467	3.49662786343068	0
G1/S	C64	1.4634847484519	3.47808427844286	0
G1/S	C68	-1.97642379895642	3.6298029748499	0
G1/S	C76	4.13567665067817	-1.9955510190756	0
G1/S	C81	5.29645342132387	0.687595950994549	0
G1/S	C90	6.30185784873904	0.671061838691884	0
G1/S	C92	0.14709127020919	3.87661531595552	0
G1/S	C95	5.6724344104933	2.07902348562085	0
G1/S	C98	5.93539903668761	-0.699701237972466	0
G1/S	C104	1.53963839654185	-1.28232694840961	0
G1/S	C108	5.95121680305397	0.313787483033359	0
G1/S	C111	2.53121925469329	-1.28229696673992	0
G1/S	C112	4.67940459237846	1.86448950219129	0
G1/S	C120	4.63539896579795	3.49687592228889	0
G1/S	C124	0.914852969253751	2.62231848773039	0
G1/S	C126	10.1363687032764	-3.91778918048414	0
G1/S	C131	5.46990265460954	1.29749705319636	0
G1/S	C132	6.0810640185407	-0.218559047854188	0
G1/S	C134	4.65610800780043	0.577957700698411	0
G1/S	C142	-7.54229367412936	6.18370519153334	0
G1/S	C143	3.00357057923714	1.28552968995879	0
G1/S	C146	4.82050047377675	2.85431931631707	0
G1/S	C149	1.68338749971084	0.969259088177888	0
G1/S	C156	2.83604173328194	3.53251848212227	0
G1/S	C168	0.428492498599524	3.64972236317139	0
G1/S	C169	1.60368560614813	3.16313516564045	0
G1/S	C171	1.52757915773669	4.34347351429118	0
G1/S	C177	6.58658289566781	0.503887497034314	0
G1/S	C181	1.86660662211302	2.37196099898865	0
G1/S	C182	1.40482980980926	4.50129881102883	0
G1/S	C185	1.84016449502702	2.89639377498062	0
G1/S	C188	2.84083732508514	0.201364587325394	0
G1/S	C191	2.38479097272751	3.68244958735811	0
G1/S	C193	5.31629715461684	2.77006762371955	0
G1/S	C196	4.84490529556028	2.02632698789678	0
G1/S	C197	4.39177072777886	-0.118543312697369	0
G1/S	C199	7.68193743015517	-2.95992039054314	0
G1/S	C200	1.95439869044491	1.3615480830427	0
G1/S	C203	0.339862425719688	3.0348711495401	0
G1/S	C204	-0.465852978281903	0.727190062862472	0
G1/S	C212	-0.309705108783899	4.38360156941701	0
G1/S	C218	5.91253884098776	-1.52446408252425	0
G1/S	C220	0.854649593789975	3.79438892370345	0
G1/S	C223	4.37150720760869	2.39988848438118	0
G1/S	C227	6.87807529504557	-0.0479301291968455	0
G1/S	C228	1.93057094008722	-5.96415767730245	0
G1/S	C232	2.00424796966469	1.48779383258935	0
G1/S	C234	4.10399466795549	-1.64311821650461	0
