"cx" "sd" "size" "expr_size" "expr"
"119" "COM_1421" 1.37852022617119 4 1 "no"
"120" "COM_1422" 0.452433026758484 27 8 "no"
"121" "COM_1423" 0.184378003610895 9 3 "no"
"122" "COM_1424" 1.26743854512105 2 0 "no"
"123" "COM_1425" 1.56021935712837 2 0 "no"
"124" "COM_1426" 0.26517366192028 18 8 "no"
"125" "COM_1427" 0.258094982576378 19 8 "no"
"126" "COM_1428" 0.133883007700365 4 0 "no"
"127" "COM_143" 0.271136520031088 9 2 "no"
"128" "COM_1430" 0.381356775531317 5 2 "no"
"129" "COM_1431" 0.528292247560388 5 1 "no"
"130" "COM_1432" 0.100566289422152 2 0 "no"
"131" "COM_1434" 0.0332756461236159 3 0 "no"
"132" "COM_1435" 0.389332315297016 6 1 "no"
"133" "COM_1436" 0.898856714644743 7 1 "no"
"134" "COM_1437" 0.707986567007881 4 1 "no"
"135" "COM_1438" 0.279167397709511 6 0 "no"
"136" "COM_1439" 0.219358746843351 7 1 "no"
"137" "COM_144" 0.704698079632128 11 2 "no"
"138" "COM_1445" 0.357723667048404 6 3 "no"
"139" "COM_1447" NA 2 2 "expr"
"140" "COM_1448" 0.534384776135705 3 0 "no"
"141" "COM_1449" 0.263601774385718 13 2 "no"
"142" "COM_1450" 0.124586323030345 2 0 "no"
"143" "COM_1452" 0.47846859844442 13 6 "no"
"144" "COM_1454" 0.570744368147993 5 1 "no"
"145" "COM_1455" 0.321486120036097 5 1 "no"
"146" "COM_1456" NA 1 0 "no"
"147" "COM_1457" 0.236103832910235 2 0 "no"
"148" "COM_1458" 0.63672815328295 5 0 "no"
"149" "COM_1459" 0.0924746375569181 3 2 "expr"
"150" "COM_1460" 0.495772008247421 5 0 "no"
"151" "COM_1464" 0.451708553941151 17 4 "no"
"152" "COM_1466" 0.218372835142452 7 1 "no"
"153" "COM_1467" 0.218905235982844 2 0 "no"
"154" "COM_1469" 0.232594453339792 7 1 "no"
"155" "COM_1470" 0.248812687703555 15 3 "no"
"156" "COM_1471" 0.06710564146047 2 0 "no"
"157" "COM_1472" 0.409013374794369 5 1 "no"
"158" "COM_1474" 1.1071454969586 2 1 "no"
"159" "COM_1475" NA 1 0 "no"
"160" "COM_1476" NA 1 0 "no"
"161" "COM_1477" NA 1 0 "no"
"162" "COM_1478" NA 1 0 "no"
"163" "COM_1479" 0.675518452899396 19 8 "no"
"164" "COM_148" 0.293156082697633 6 0 "no"
"165" "COM_1480" 0.282951260788931 2 1 "no"
"166" "COM_1481" 0.0368764945769425 2 0 "no"
"167" "COM_1482" 0.549719437015021 12 3 "no"
"168" "COM_1483" 0.168735133281004 2 0 "no"
"169" "COM_1484" 1.00442638788822 4 0 "no"
"170" "COM_1485" 0.911114534033502 5 0 "no"
"171" "COM_1487" 0.201351023878528 11 3 "no"
"172" "COM_1491" NA 2 0 "no"
"173" "COM_1494" 0.314385685282966 8 3 "no"
"174" "COM_1498" 0.153863758869655 2 1 "no"
"175" "COM_1499" 1.11852231800331 2 0 "no"
"176" "COM_15" 0.419819634690829 4 1 "no"
"177" "COM_150" 0.36011858007471 3 0 "no"
"178" "COM_1505" 0.426058110346269 12 5 "no"
"179" "COM_1506" 0.723686411787728 3 1 "no"
"180" "COM_1507" 0.351033363599055 4 1 "no"
"181" "COM_1508" 0.143271576518136 2 1 "no"
"182" "COM_1509" 0.0919653220332933 3 2 "expr"
"183" "COM_1514" NA 1 0 "no"
"184" "COM_1515" 0.66988590207932 8 1 "no"
"185" "COM_1519" NA 3 1 "no"
"186" "COM_152" 0.621228758615189 4 2 "no"
"187" "COM_1520" 0.301477825879465 3 0 "no"
"188" "COM_1523" 0.224656708976459 4 0 "no"
"189" "COM_1524" 0.0680828630470223 2 0 "no"
"190" "COM_1526" 1.4417571058889 2 1 "no"
"191" "COM_1527" 0.455135113744927 2 0 "no"
"192" "COM_1528" 0.426452826600071 3 0 "no"
"193" "COM_153" 0.541293686642452 4 2 "no"
"194" "COM_1534" 0.487536404611655 5 0 "no"
"195" "COM_1536" 0.787970174235658 7 2 "no"
"196" "COM_1539" 0.312478101705872 13 4 "no"
"197" "COM_154" 0.279218435458857 3 1 "no"
"198" "COM_1541" 0.359198777040982 4 1 "no"
"199" "COM_1549" 0.217488410960657 5 0 "no"
"200" "COM_155" 0.376219963387538 3 1 "no"
"201" "COM_1550" 0.191800104161196 2 1 "no"
"202" "COM_1553" 0.582890347905055 13 2 "no"
"203" "COM_1554" 0.284072863188596 8 1 "no"
"204" "COM_1556" 1.71471364920449 2 1 "no"
"205" "COM_1559" 0.129932117457502 4 0 "no"
"206" "COM_156" 0.52976516382283 4 2 "no"
"207" "COM_1561" 0.821574513694442 3 0 "no"
"208" "COM_1562" 0.983249446069657 3 0 "no"
"209" "COM_1563" 0.676484745392337 8 1 "no"
"210" "COM_1564" 0.261809926292107 3 0 "no"
"211" "COM_1565" 0.20705337271191 4 1 "no"
"212" "COM_157" 0.544353128367358 3 1 "no"
"213" "COM_1573" 0.392876639964051 5 0 "no"
"214" "COM_158" 0.780166892392798 3 2 "expr"
"215" "COM_1587" 0.737585686991009 4 0 "no"
"216" "COM_1589" 0.220766242839197 4 3 "expr"
"217" "COM_159" 0.735762576650479 3 1 "no"
"218" "COM_1590" 0.228662003091282 3 2 "expr"
"219" "COM_1591" 0.177379321787451 4 1 "no"
"220" "COM_1593" 0.148867482141127 13 4 "no"
"221" "COM_1595" 0.0965665069333394 3 1 "no"
"222" "COM_160" 0.539115079943179 3 1 "no"
"223" "COM_1601" 1.26174334451985 3 0 "no"
"224" "COM_1603" 0.472360213033047 9 4 "no"
"225" "COM_1604" 0.708077057571247 19 6 "no"
"226" "COM_1607" 0.131932896753121 4 2 "no"
"227" "COM_1608" 0.177449823347523 3 1 "no"
"228" "COM_1609" 0.19473389960375 3 0 "no"
"229" "COM_161" 0.516730385552842 4 1 "no"
"230" "COM_1611" 0.183993830330471 5 2 "no"
"231" "COM_1612" 0.540090745958455 3 1 "no"
"232" "COM_1617" 0.41172184815878 3 1 "no"
"233" "COM_1619" 0.74109119110089 5 0 "no"
"234" "COM_162" 0.671020606973543 3 2 "expr"
"235" "COM_1622" 0.60469030328828 10 1 "no"
"236" "COM_1623" 0.384604196176303 7 2 "no"
"237" "COM_1624" 0.693952670058024 4 2 "no"
"238" "COM_1629" 0.34388337401721 4 1 "no"
"239" "COM_163" 1.04016792378665 3 2 "expr"
"240" "COM_1630" 0.369336674552882 3 1 "no"
"241" "COM_1631" 0.201390938083324 3 1 "no"
"242" "COM_1635" 1.28518398410422 2 1 "no"
"243" "COM_1636" 0.981170099757787 4 1 "no"
"244" "COM_1638" 0.456036196052393 8 2 "no"
"245" "COM_1639" 0.251566352515446 6 4 "expr"
"246" "COM_1644" 0.694278767640875 14 4 "no"
"247" "COM_1645" 0.349907223947396 5 1 "no"
"248" "COM_1646" 0.140952157705944 3 1 "no"
"249" "COM_1647" 1.20151877182348 3 0 "no"
"250" "COM_1648" 0.51713140153958 11 1 "no"
"251" "COM_1649" 0.197029617100516 3 1 "no"
"252" "COM_165" 0.385789075096732 3 1 "no"
"253" "COM_1650" 0.412104416790357 5 1 "no"
"254" "COM_1651" 0.39950541092738 5 1 "no"
"255" "COM_1652" 0.233578122901248 7 2 "no"
