"gene" "time0" "time1" "time2" "time3" "time4" "time5" "time6" "time7"
"1" "ENSG00000187634" 123.131713714988 130.002034177083 153.502451919925 159.415028164314 161.055160275513 149.719645714665 166.033109368638 169.529237312569
"2" "ENSG00000188976" 68.2372681061181 58.7880015819263 64.7669079245611 64.4096163453921 55.591967581581 66.5696209156919 69.4782424967786 61.3729041789089
"3" "ENSG00000188290" 304.435236600856 332.845624089353 320.613248467193 322.193346781518 351.321518492761 389.413904389637 298.820447660255 296.431456967944
"4" "ENSG00000187608" 80.9574907412335 83.4183330783884 86.2732346469589 70.5937566951918 100.322269873421 66.7936784696573 76.0563650461267 65.8713162768968
"5" "ENSG00000188157" 49.5364596525918 47.7517606947205 47.2737267570482 52.77322629158 47.1613596146319 65.0719680844681 45.0373438893962 51.3591779200331
"6" "ENSG00000078808" 149.442693615338 137.87916290743 142.527454907887 172.479255099878 158.354747552053 153.825805990981 168.719160587981 144.399719437656
"7" "ENSG00000176022" 43.8773242671195 41.7232174439435 38.935137443969 40.6730012126453 43.0517408727761 49.8887456826201 43.1899264827255 44.5213432192773
"8" "ENSG00000160087" 68.6787199378805 63.8702928034358 62.2895081316197 63.8375660856506 64.0341335197498 74.3828470533059 75.6188708061737 57.9759620368319
"9" "ENSG00000131584" 26.0558938611454 34.2848968304327 20.1675507194456 28.6603512037435 22.2743903639562 25.6092018209178 21.2918784440242 25.3672365605829
"10" "ENSG00000169972" 60.3663097996307 62.9303130594045 63.0021525827199 58.7782943270973 55.9969618223835 55.451562456962 71.4589974525662 64.0571069834077
"11" "ENSG00000127054" 19.9533431204453 20.4320876005962 21.9215017747607 15.5800216551016 20.5425708462656 22.4387912539105 22.9968585116568 20.5688191389526
"12" "ENSG00000224051" 23.6926815629114 23.5415641105859 26.6327475005762 25.3623227793891 24.7886840525151 23.8320183475859 22.58156203926 24.2875053062027
"13" "ENSG00000107404" 27.199394913939 23.1096996919649 16.5970291897564 24.4603590800756 21.8471760644957 30.0934406508527 30.4055912847493 29.7233765842629
"14" "ENSG00000175756" 503.331649296577 472.405944045793 450.089385292829 515.585099091193 546.324539367295 518.318827254543 529.989952492653 449.279848920062
"15" "ENSG00000221978" 23.4409670869694 22.9672751477523 29.8452166334419 18.6281140718724 27.6892554871126 26.0097725431008 24.0549656894589 23.7014147994175
"16" "ENSG00000242485" 379.572646660938 346.459413661233 363.106341875733 414.014090788398 392.989707408472 404.38459493115 451.223318126809 365.301086819848
"17" "ENSG00000160072" 34.2015353241743 37.0322390987595 28.4442384576851 33.3530595151757 35.9404998611202 36.1125019067993 32.549320970527 30.86902975231
"18" "ENSG00000197785" 57.2065319463794 66.4411877749039 47.7619282332551 52.5752251189125 51.4916362869739 60.275575855047 70.9316557989622 55.8391869260011
"19" "ENSG00000160075" 328.79999287284 331.674437817415 342.51944761169 363.027438800116 350.422837002454 340.754502265604 352.477726333001 347.213506506084
"20" "ENSG00000248333" 33.7600541269604 34.8858270948599 36.7681024094434 34.5169503177517 39.9212567125145 36.139947679944 46.3547946990487 34.1877109328981
"21" "ENSG00000008130" 43.6847984770073 38.5166892154972 32.5946255136654 33.2178694697069 36.8468564166479 46.7638667576191 37.8289757145168 39.5082476612663
"22" "ENSG00000078369" 139.345954852141 128.081763314729 130.407136930694 143.879791009297 132.934434285063 125.227760174008 133.218259546336 131.220744486302
"23" "ENSG00000067606" 27.1811176349448 24.6329052054295 33.2086090632549 26.1414318354448 32.0052659392875 25.6524367666384 28.397686192935 23.8364605354255
"24" "ENSG00000162585" 111.082832849302 127.897581041992 96.5067350470106 122.937178512673 120.596593091367 108.563708446774 116.723498587686 114.518305137394
"25" "ENSG00000157916" 200.330894395722 191.655383800642 178.986718209545 205.62860076946 213.109875125218 195.557612428008 237.812798867721 180.561069687804
"26" "ENSG00000157911" 30.2824820311078 28.7958362714635 32.759143381439 27.3658342956906 37.5472445677926 29.8315617124769 32.3430747021211 30.7255062874326
"27" "ENSG00000116198" 26.3217849525935 30.0713830893954 19.8489267963474 16.4912935785623 20.3137652311434 13.5993958224341 23.4386591134859 25.0417300959689
"28" "ENSG00000198912" 22.0086719397425 26.826887262176 23.7213344684611 19.925192183084 23.7458290850348 21.8622568039177 17.3369755756347 21.7651466089701
"29" "ENSG00000069424" 42.9638841068092 45.8922899780755 42.176256855845 42.3508038254147 34.6532111807415 37.5034380912166 35.3608264153463 37.0360445270982
"30" "ENSG00000116251" 1344.94358399171 1292.39697242977 1470.95825959257 1458.33591375806 1401.73999914891 1452.91572735491 1376.87817257621 1434.33876150339
"31" "ENSG00000116237" 85.2607614540409 87.6817653372978 92.415673323814 92.2296880524868 92.1701479537112 90.201696920456 98.3822350696091 85.7721454688789
"32" "ENSG00000097021" 29.2155935940039 35.266489003939 29.5052290427164 28.8496312880996 41.2169533629297 29.3843453643453 31.901106730097 26.3073601336347
"33" "ENSG00000069812" 36.9011103696025 37.0482825818878 29.3821059567209 27.3827625120831 27.6287720956724 29.3172365620101 30.2915554507014 33.5088478330462
"34" "ENSG00000171735" 266.629195673258 275.959669080792 272.366795990696 284.063549476737 273.499638382482 261.006231108078 256.144542949626 262.957110888009
"35" "ENSG00000049245" 27.6056347180732 23.5586903551109 27.1601001890945 36.8226285242268 21.9374478112275 26.4747675956916 25.4623104411408 24.8892941199148
"36" "ENSG00000116288" 383.598350343527 349.266718597384 350.939983205485 398.389522795605 349.508371678312 376.052800599143 430.424553362984 331.548972512579
