"cell" "Complex" "sd"
"116" "BG01_ESC" "COM_1414" 0.658350833854531
"117" "BG01_ESC" "COM_1415" 0.171121877884519
"118" "BG01_ESC" "COM_142" 0.505594720982015
"119" "BG01_ESC" "COM_1421" 0.431422731037405
"120" "BG01_ESC" "COM_1422" 0.760639091067782
"121" "BG01_ESC" "COM_1423" 0.512913147617633
"122" "BG01_ESC" "COM_1424" 1.66203947979562
"123" "BG01_ESC" "COM_1425" 1.0564778645614
"124" "BG01_ESC" "COM_1426" 0.562102741176182
"125" "BG01_ESC" "COM_1427" 0.6259149076534
"126" "BG01_ESC" "COM_1428" 0.124705197025172
"127" "BG01_ESC" "COM_143" 0.539645232910467
"128" "BG01_ESC" "COM_1430" 0.683984650861106
"129" "BG01_ESC" "COM_1431" 1.30281539670602
"130" "BG01_ESC" "COM_1432" 2.1121772498458
"131" "BG01_ESC" "COM_1434" 1.58057917608006
"132" "BG01_ESC" "COM_1435" 0.974313144267049
"133" "BG01_ESC" "COM_1436" 0.718769872892849
"134" "BG01_ESC" "COM_1437" 0.961582328734279
"135" "BG01_ESC" "COM_1438" 1.22712476269146
"136" "BG01_ESC" "COM_1439" 1.07143708143266
"137" "BG01_ESC" "COM_144" 0.774801559999444
"138" "BG01_ESC" "COM_1445" 0.700270812338586
"139" "BG01_ESC" "COM_1447" 0.335222669681188
"140" "BG01_ESC" "COM_1448" 1.19303327489447
"141" "BG01_ESC" "COM_1449" 0.931206962203079
"142" "BG01_ESC" "COM_1450" 0.552586827837935
"143" "BG01_ESC" "COM_1452" 0.923607287425248
"144" "BG01_ESC" "COM_1454" 0.995911523173203
"145" "BG01_ESC" "COM_1455" 0.597040848426212
"146" "BG01_ESC" "COM_1456" NA
"147" "BG01_ESC" "COM_1457" 0.645620524397766
"148" "BG01_ESC" "COM_1458" 0.616755490515022
"149" "BG01_ESC" "COM_1459" 0.792365688925322
"150" "BG01_ESC" "COM_1460" 0.815587327822991
"151" "BG01_ESC" "COM_1464" 0.860070287745265
"152" "BG01_ESC" "COM_1466" 0.686338897979296
"153" "BG01_ESC" "COM_1467" 1.09820520190244
"154" "BG01_ESC" "COM_1469" 0.613054983937008
"155" "BG01_ESC" "COM_1470" 0.881053055436094
"156" "BG01_ESC" "COM_1471" 0.378181497386475
"157" "BG01_ESC" "COM_1472" 0.991997756370353
"158" "BG01_ESC" "COM_1473" NA
"159" "BG01_ESC" "COM_1474" 0.873662573873635
"160" "BG01_ESC" "COM_1475" NA
"161" "BG01_ESC" "COM_1476" NA
"162" "BG01_ESC" "COM_1477" NA
"163" "BG01_ESC" "COM_1478" NA
"164" "BG01_ESC" "COM_1479" 1.01176923156022
"165" "BG01_ESC" "COM_148" 0.513110588155225
"166" "BG01_ESC" "COM_1480" 0.114505088928036
"167" "BG01_ESC" "COM_1481" 0.0175582147441767
"168" "BG01_ESC" "COM_1482" 0.973551351275036
"169" "BG01_ESC" "COM_1483" 1.13010269089787
"170" "BG01_ESC" "COM_1484" 0.940743200260985
"171" "BG01_ESC" "COM_1485" 0.986318412740576
"172" "BG01_ESC" "COM_1487" 0.516049568385545
"173" "BG01_ESC" "COM_1491" 1.16712113728684
"174" "BG01_ESC" "COM_1494" 0.47764548826377
"175" "BG01_ESC" "COM_1498" 0.174892962527827
"176" "BG01_ESC" "COM_1499" 0.242527776618742
"177" "BG01_ESC" "COM_15" 0.493072748502883
"178" "BG01_ESC" "COM_150" 0.440468612501085
"179" "BG01_ESC" "COM_1505" 0.691987080557242
"180" "BG01_ESC" "COM_1506" 1.61721319186634
"181" "BG01_ESC" "COM_1507" 0.680275986622423
"182" "BG01_ESC" "COM_1508" 1.20293423163563
"183" "BG01_ESC" "COM_1509" 0.649838435492399
"184" "BG01_ESC" "COM_1514" NA
"185" "BG01_ESC" "COM_1515" 0.79794265624514
"186" "BG01_ESC" "COM_1519" 0.57375895071741
"187" "BG01_ESC" "COM_152" 1.21446601375301
"188" "BG01_ESC" "COM_1520" 0.997129184344932
"189" "BG01_ESC" "COM_1523" 0.563419315663639
"190" "BG01_ESC" "COM_1524" 0.413246894224162
"191" "BG01_ESC" "COM_1526" 1.29401377756038
"192" "BG01_ESC" "COM_1527" 0.83054969420526
"193" "BG01_ESC" "COM_1528" 0.928735029448075
"194" "BG01_ESC" "COM_153" 0.916626343237607
"195" "BG01_ESC" "COM_1534" 0.634421041203331
"196" "BG01_ESC" "COM_1536" 1.28517004486772
"197" "BG01_ESC" "COM_1539" 0.440813685092801
"198" "BG01_ESC" "COM_154" 0.763670707729219
"199" "BG01_ESC" "COM_1541" 0.998519615011519
"200" "BG01_ESC" "COM_1549" 0.425218000195908
"201" "BG01_ESC" "COM_155" 0.688023810631753
"202" "BG01_ESC" "COM_1550" 0.838705255374924
"203" "BG01_ESC" "COM_1553" 0.79045996783893
"204" "BG01_ESC" "COM_1554" 0.434742582852344
"205" "BG01_ESC" "COM_1556" 0.988515067421783
"206" "BG01_ESC" "COM_1559" 0.687835432928628
"207" "BG01_ESC" "COM_156" 0.723132404052472
"208" "BG01_ESC" "COM_1561" 0.823903281829482
"209" "BG01_ESC" "COM_1562" 0.755266733193757
"210" "BG01_ESC" "COM_1563" 0.757947944155541
"211" "BG01_ESC" "COM_1564" 0.349435643883514
"212" "BG01_ESC" "COM_1565" 0.462167826586893
"213" "BG01_ESC" "COM_157" 0.954578496996382
"214" "BG01_ESC" "COM_1573" 0.896428801423754
"215" "BG01_ESC" "COM_158" 0.891237829097279
"216" "BG01_ESC" "COM_1587" 0.534461121911855
"217" "BG01_ESC" "COM_1589" 0.537378505652645
"218" "BG01_ESC" "COM_159" 0.9172097409625
"219" "BG01_ESC" "COM_1590" 0.299560367916863
"220" "BG01_ESC" "COM_1591" 0.823087475323121
"221" "BG01_ESC" "COM_1593" 0.651729991484529
"222" "BG01_ESC" "COM_1595" 0.387865279551529
"223" "BG01_ESC" "COM_160" 0.875737976498369
