Symbol	Liver_d16_Cyt49	Liver_d5_Cyt49	Liver_d8_Cyt49	Panc_d12_Cyt49	Panc_d5_Cyt49	Panc_d8_Cyt49	ESC_Cyt49
KIAA1024L	96.45509125	99.97271102	112.3921765	95.28583467	100.0572102	99.58185223	96.751678
KIAA1026	112.7468107	121.8580419	121.2240379	121.4446071	117.9402593	114.4789628	125.6128193
KIAA1033	159.4786946	155.4693659	170.0668354	168.2727542	156.1409844	165.7845259	199.6020089
KIAA1045	120.6765587	96.13292389	126.7558472	93.8108651	90.98894244	102.1818038	97.75857041
KIAA1086	125.2772396	133.752509	125.5830341	119.9589996	138.1038006	129.3588413	133.9304435
KIAA1107	122.7629027	143.3030139	126.8748251	139.8983633	146.0294128	133.9820957	132.3682794
KIAA1109	98.09616581	105.2735032	109.2884659	107.7265326	103.7721297	102.5924347	103.4310901
KIAA1128	273.9362012	238.320819	242.2406598	300.4732536	220.3691473	269.8941793	236.4964029
KIAA1143	154.2989022	270.6084134	158.1313546	182.0220892	256.0806956	195.7635016	267.0754688
KIAA1147	575.9978344	902.0218828	926.0546181	674.0811815	1024.97165	651.3638494	538.8882925
KIAA1160	263.4304238	356.7209349	274.6863587	320.8206152	324.7081702	389.3918541	305.7183066
KIAA1161	148.1161048	131.7106913	125.3533412	117.0835324	120.4081223	113.2469869	120.8395521
KIAA1191	1851.917739	2193.616304	1961.532194	1956.461146	2169.195906	2092.111353	1621.747183
KIAA1199	112.6058591	86.99350673	92.6909714	140.8423697	85.88771168	124.1846659	106.7280679
KIAA1202	118.2874565	135.6444892	119.2364855	112.4664987	116.8176263	119.3951112	118.5870829
KIAA1210	98.55104499	107.4183218	104.2288855	102.2276086	108.8095762	100.5290729	101.2066013
KIAA1211	250.635445	280.8587677	282.9144906	364.6890195	274.7020453	390.4009264	166.3282261
KIAA1217	481.5786954	201.0261494	213.7400149	552.2969066	296.643763	347.4715466	194.3011153
